parent_molecule_chembl_id,pref_name,smiles,structure_image_url,pchembl_value,standard_type,standard_relation,standard_value,standard_units,role,best_target,targets_hit,n_targets_hit,assay_chembl_id,assay_type,confidence_score,assay_organism,molecule_chembl_id,target_chembl_id,TAG,standard_inchi_key
CHEMBL5816233,,CNC(=O)[C@]12CC1[C@@H](n1cnc3c(NC)nc(-n4cc(-c5ccc(Br)s5)nn4)nc31)[C@H](O)C2O,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5816233.png,9.24,Ki,=,0.58,nM,antagonist,A3R,A3R,1,CHEMBL5734944,B,9,Homo sapiens,CHEMBL5816233,CHEMBL256,A3R,HDCUHNUIEIAZHC-WCXFLZKMSA-N
CHEMBL5816463,,C[C@@H]1CCN(C(=O)c2nc(N[C@@H](C)c3ccccn3)nc3cc(N)sc23)C1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5816463.png,7.52,IC50,=,30,nM,antagonist,A2BR,A2AR;A2BR,2,CHEMBL5737878,B,9,Homo sapiens,CHEMBL5816463,CHEMBL255,A2BR,HRHFSQJAOKZTTJ-NEPJUHHUSA-N
CHEMBL5816744,,C[C@H](Cc1nc2c3ccc4c(c3nc(N)n2n1)OC(F)(F)O4)N1CCc2ccncc21,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5816744.png,8.74,Ki,=,1.8,nM,antagonist,A2AR,A2AR,1,CHEMBL5737048,B,9,Homo sapiens,CHEMBL5816744,CHEMBL251,A2AR,NNIOZNVJPRUTPP-SNVBAGLBSA-N
CHEMBL5817018,,Cn1cc(-c2c(-c3cccc(C#N)c3)nc(N)c3nn(Cc4ncccc4F)nc23)ccc1=O,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5817018.png,7.26,EC50,=,55,nM,agonist,A2BR,A2BR,1,CHEMBL5738255,B,9,Homo sapiens,CHEMBL5817018,CHEMBL255,A2BR,OYSQZTKBNXAYBS-UHFFFAOYSA-N
CHEMBL5817464,,Cc1cc(-c2c(-c3ccc(F)cc3)nc(N)n3nc(Cc4ncccc4F)nc23)cn(C)c1=O,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5817464.png,8.42,IC50,=,3.8,nM,antagonist,A2AR,A1R;A2AR;A2BR,3,CHEMBL5736162,B,9,Homo sapiens,CHEMBL5817464,CHEMBL251,A2AR,WNXQQSLXEOLCRS-UHFFFAOYSA-N
CHEMBL5817662,,Cc1cccc(C(=O)NC2CN(C(=O)c3nc(N[C@@H](C)c4cncc(F)c4)nc4ccsc34)C2)c1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5817662.png,7.52,IC50,=,30,nM,antagonist,A2BR,A2BR;A3R,2,CHEMBL5737878,B,9,Homo sapiens,CHEMBL5817662,CHEMBL255,A2BR,FVKKQPAPWYENPX-HNNXBMFYSA-N
CHEMBL5817665,,O[C@@H]1[C@H](O)CS[C@H]1c1cnc2c(NCc3cncnc3)nccn12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5817665.png,7.26,IC50,=,55,nM,antagonist,A3R,A3R,1,CHEMBL5732465,B,9,Homo sapiens,CHEMBL5817665,CHEMBL256,A3R,WUDCDHBSOZVQKO-UPJWGTAASA-N
CHEMBL5817837,,COC(=O)c1cc(-c2cn3c(N)nc(-c4ccccc4)c(-c4ccncc4)c3n2)on1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5817837.png,7.26,Ki,=,55,nM,antagonist,A2AR,A2AR,1,CHEMBL5739426,B,9,Homo sapiens,CHEMBL5817837,CHEMBL251,A2AR,FWGGFOAIYLYSHG-UHFFFAOYSA-N
CHEMBL5817961,,C[C@H](Nc1nc(C(=O)N2CC[C@@H](S(C)(=O)=O)C2)c2sccc2n1)c1ccccn1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5817961.png,6.52,IC50,=,300,nM,antagonist,A2BR,A2BR,1,CHEMBL5737878,B,9,Homo sapiens,CHEMBL5817961,CHEMBL255,A2BR,AZUWSHMAEYCIGC-QWHCGFSZSA-N
CHEMBL5818042,,Cc1cnc2ccc(-c3nc(C(=O)NC[C@@H]4CCCO4)c(N)nc3-c3ncco3)cn12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5818042.png,8.51,IC50,=,3.1,nM,antagonist,A2AR,A1R;A2AR,2,CHEMBL5736345,B,9,Homo sapiens,CHEMBL5818042,CHEMBL251,A2AR,ZMNJVFVXFGTUGF-AWEZNQCLSA-N
CHEMBL5818240,,CC1(F)CCCN(CCc2nc3c4ccc5c(c4nc(N)n3n2)OC(F)(F)O5)C1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5818240.png,8.38,Ki,=,4.2,nM,antagonist,A2AR,A2AR,1,CHEMBL5737048,B,9,Homo sapiens,CHEMBL5818240,CHEMBL251,A2AR,YDZQABZIYBBTFN-UHFFFAOYSA-N
CHEMBL5818449,,O[C@@H]1[C@H](O)CS[C@H]1c1nnc2c(NCc3cc(F)cc(Cl)c3)nccn12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5818449.png,7.26,IC50,=,55,nM,antagonist,A3R,A3R,1,CHEMBL5732465,B,9,Homo sapiens,CHEMBL5818449,CHEMBL256,A3R,HUUYJDWEXSCWLO-JHJVBQTASA-N
CHEMBL5818498,,COC[C@H]1CCN(C(=O)c2nc(N[C@@H](C)c3ccccn3)nc3cc(C)sc23)C1,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5818498.png,7.52,IC50,=,30,nM,antagonist,A2BR,A2BR,1,CHEMBL5737878,B,9,Homo sapiens,CHEMBL5818498,CHEMBL255,A2BR,GXNIYZICXGUBLK-GJZGRUSLSA-N
CHEMBL5818817,,O[C@@H]1[C@H](O)CS[C@H]1c1nnc2c(NCc3cc(Cl)cc(Cl)c3)nccn12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5818817.png,6.26,IC50,=,550,nM,antagonist,A3R,A3R,1,CHEMBL5732465,B,9,Homo sapiens,CHEMBL5818817,CHEMBL256,A3R,OMLGKEMOBJEFNY-JHJVBQTASA-N
CHEMBL5818900,,COc1cc2nc(N)n3nc([C@@H]4CN(c5cn(CC(C)(C)O)nc5C)CCO4)nc3c2cc1F,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5818900.png,7.62,IC50,=,24.1,nM,antagonist,A2AR,A2AR,1,CHEMBL5738035,B,9,Homo sapiens,CHEMBL5818900,CHEMBL251,A2AR,BQPXQEUHRHDFBV-SFHVURJKSA-N
CHEMBL5819064,,O[C@@H]1[C@H](O)CS[C@H]1c1cnc2c(N[C@H]3C[C@@H]3c3ccccc3)nccn12,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL5819064.png,6.26,IC50,=,550,nM,antagonist,A3R,A3R,1,CHEMBL5732465,B,9,Homo sapiens,CHEMBL5819064,CHEMBL256,A3R,BRFIUJCWBWIDBI-IEHFGQBSSA-N
